id,user_id,code_id,item_id,game_id,difficulty,win,created
238,1,5,226,4,2,0,1742335998639
236,1,5,277,4,2,0,1742335981303
237,1,5,402,4,2,0,1742335981303
235,1,5,328,4,2,1,1742335949964
233,1,5,148,4,2,0,1742335944764
234,1,5,323,4,2,0,1742335944764
232,1,5,224,4,2,1,1742335938372
231,1,5,208,4,2,0,1742335930084
230,1,5,116,4,2,1,1742335905556
229,1,5,236,4,2,1,1742335898892
228,1,5,264,4,2,1,1742335892866
227,1,5,145,4,2,1,1742335888530
225,1,5,284,4,2,0,1742335875554
226,1,5,283,4,2,0,1742335875554
224,1,5,142,4,2,1,1742335865034
223,1,5,101,4,2,1,1742335858298
222,1,5,119,4,2,1,1742335670616
220,1,5,394,4,2,0,1742335634599
221,1,5,121,4,2,0,1742335634599
219,1,5,277,4,2,1,1742335626703
217,1,5,239,3,2,0,1742302374484
216,1,5,341,3,2,1,1742301232424
204,1,5,186,2,1,0,1742212892733
203,1,5,24,2,1,1,1742212684875
201,1,5,241,4,1,0,1742212471682
202,1,5,49,4,1,0,1742212471682
200,1,5,290,4,1,1,1742212467594
199,1,5,9,2,3,0,1742212343686
198,1,5,301,4,2,1,1742159498339
197,1,5,328,4,2,1,1742159488755
196,1,5,354,4,2,1,1742159484372
195,1,5,267,4,2,1,1742159476219
194,1,5,400,4,2,1,1742159457011
193,1,5,181,4,2,1,1742159433635
192,1,5,322,4,2,1,1742159421659
190,1,5,130,4,2,0,1742159401633
191,1,5,231,4,2,0,1742159401633
189,1,5,18,4,2,1,1742159397601
188,1,5,63,4,2,1,1742159393546
1,1,5,197,4,3,1,1742155453960
2,1,5,53,4,3,1,1742155453960
3,1,5,179,4,3,1,1742155453960
4,1,5,102,4,3,1,1742155453960
5,1,5,303,4,3,1,1742155453960
6,2,5,209,1,1,0,1742155453960
7,2,5,165,1,1,0,1742155453960
8,2,5,365,1,1,0,1742155453960
9,2,5,153,1,1,0,1742155453960
10,1,5,198,2,2,0,1742155453960
11,2,5,43,1,1,1,1742155453960
12,2,5,219,1,1,1,1742155453960
13,2,5,248,1,1,1,1742155453960
14,2,5,59,1,1,1,1742155453960
15,1,5,379,2,2,1,1742155453960
16,1,5,66,2,2,1,1742155453960
17,2,5,66,1,1,1,1742155453960
18,2,5,30,1,1,1,1742155453960
19,2,5,187,1,1,1,1742155453960
20,2,5,270,1,1,1,1742155453960
21,1,5,143,2,2,1,1742155453960
22,2,5,97,1,1,0,1742155453960
23,2,5,328,1,1,0,1742155453960
24,2,5,378,1,1,0,1742155453960
25,2,5,141,1,1,0,1742155453960
26,2,5,382,1,1,1,1742155453960
27,2,5,195,1,1,1,1742155453960
28,2,5,366,1,1,1,1742155453960
29,2,5,125,1,1,1,1742155453960
30,2,5,132,1,1,1,1742155453960
31,2,5,72,1,1,1,1742155453960
32,2,5,38,1,1,1,1742155453960
33,2,5,353,1,1,1,1742155453960
34,2,5,226,1,1,0,1742155453960
35,2,5,387,1,1,0,1742155453960
36,2,5,185,1,1,0,1742155453960
37,2,5,159,1,1,0,1742155453960
38,2,5,407,1,1,1,1742155453960
39,2,5,274,1,1,1,1742155453960
40,2,5,104,1,1,1,1742155453960
41,2,5,52,1,1,1,1742155453960
42,2,5,44,1,1,1,1742155453960
43,2,5,148,1,1,1,1742155453960
44,1,5,113,3,2,0,1742155453960
45,2,5,290,1,1,1,1742155453960
46,2,5,68,1,1,1,1742155453960
47,2,5,350,1,1,1,1742155453960
48,2,5,57,1,1,1,1742155453960
49,1,5,216,4,2,1,1742155453960
50,1,5,50,4,2,1,1742155453960
