id,user_id,code_id,tag_id,item_id,game_id,difficulty,win,created
225,1,5,1151,73,4,3,0,1742337485283
226,1,5,1151,275,4,3,0,1742337485283
224,1,5,1196,21,4,3,1,1742337476116
222,1,5,1189,391,4,3,0,1742337465235
223,1,5,1081,391,4,3,0,1742337465235
220,1,5,1219,302,4,3,0,1742337440552
221,1,5,1080,302,4,3,0,1742337440552
219,1,5,1093,350,4,3,1,1742337429350
218,1,5,1156,308,4,3,1,1742337409345
217,1,5,1295,127,4,3,1,1742337399838
216,1,5,1123,323,4,3,1,1742337379110
215,1,5,1107,134,4,3,1,1742337365852
214,1,5,1326,77,4,3,1,1742337353732
212,1,5,1167,27,4,3,0,1742337342144
213,1,5,1051,27,4,3,0,1742337342144
211,1,5,1275,300,4,3,1,1742337335767
209,1,5,1271,22,4,3,0,1742336975970
210,1,5,1271,376,4,3,0,1742336975970
207,1,5,1136,210,4,3,0,1742336971197
208,1,5,1136,352,4,3,0,1742336971197
206,1,5,1100,89,4,3,1,1742336962988
204,2,5,1091,197,4,3,0,1742336934053
205,2,5,1091,116,4,3,0,1742336934053
203,2,5,1102,386,4,3,1,1742336927179
202,2,5,1293,264,4,3,1,1742336917360
200,1,5,1286,256,4,3,0,1742336874149
201,1,5,1213,256,4,3,0,1742336874149
198,1,5,1175,399,4,3,0,1742336866579
199,1,5,1120,399,4,3,0,1742336866579
197,2,5,1293,416,4,3,1,1742336862864
195,2,5,1235,10,4,3,0,1742336857516
196,2,5,1119,10,4,3,0,1742336857516
194,2,5,1075,323,4,3,1,1742336849122
192,2,5,1091,203,4,3,0,1742336845274
193,2,5,1102,203,4,3,0,1742336845274
191,2,5,1155,264,4,3,1,1742336834831
190,2,5,1062,377,4,3,1,1742336803198
188,2,5,1307,85,4,3,0,1742336783428
189,2,5,1307,56,4,3,0,1742336783428
186,1,5,1324,191,4,3,0,1742336781545
187,1,5,1324,257,4,3,0,1742336781545
185,1,5,1298,198,4,3,1,1742336774048
184,1,5,1132,170,4,3,1,1742336767512
182,1,5,1313,413,4,3,0,1742336761624
183,1,5,1217,413,4,3,0,1742336761624
181,1,5,1189,307,4,3,1,1742336747527
179,2,5,1317,82,4,3,0,1742336723503
