id,old_code,new_code,old_tag,new_tag,description,created
670,4,5,826,1129,INITIAL COPY,1729932299870
671,4,5,827,1130,INITIAL COPY,1732212950817
672,4,5,828,1131,INITIAL COPY,1712516375204
675,4,5,829,1134,INITIAL COPY,1728907214929
676,4,5,830,1135,INITIAL COPY,1729710892334
806,4,5,831,1265,INITIAL COPY,1728907365843
677,4,5,832,1136,INITIAL COPY,1729931882819
857,4,5,833,1316,INITIAL COPY,1731410639365
679,4,5,834,1138,INITIAL COPY,1712518214027
680,4,5,835,1139,INITIAL COPY,1713109628757
681,4,5,836,1140,INITIAL COPY,1713109628757
682,4,5,837,1141,INITIAL COPY,1728907133175
683,4,5,838,1142,INITIAL COPY,1713109628757
684,4,5,839,1143,INITIAL COPY,1728907133175
685,4,5,840,1144,INITIAL COPY,1710171886240
686,4,5,841,1145,INITIAL COPY,1713160667321
687,4,5,842,1146,INITIAL COPY,1731405506770
688,4,5,843,1147,INITIAL COPY,1729713354514
689,4,5,844,1148,INITIAL COPY,1731405757929
690,4,5,845,1149,INITIAL COPY,1731405871847
673,4,5,846,1132,INITIAL COPY,1713167124757
691,4,5,847,1150,INITIAL COPY,1711813043652
674,4,5,848,1133,INITIAL COPY,1713081925536
692,4,5,849,1151,INITIAL COPY,1712518532938
693,4,5,850,1152,INITIAL COPY,1713166425659
694,4,5,851,1153,INITIAL COPY,1729935186758
695,4,5,852,1154,INITIAL COPY,1729330703600
696,4,5,853,1155,INITIAL COPY,1729330652832
697,4,5,854,1156,INITIAL COPY,1713166308721
698,4,5,855,1157,INITIAL COPY,1713186219695
699,4,5,856,1158,INITIAL COPY,1713165529767
700,4,5,857,1159,INITIAL COPY,1712518370275
703,4,5,858,1162,INITIAL COPY,1712518370275
704,4,5,859,1163,INITIAL COPY,1712518389638
705,4,5,860,1164,INITIAL COPY,1712518292525
706,4,5,861,1165,INITIAL COPY,1712517860074
709,4,5,862,1168,INITIAL COPY,1723054874006
710,4,5,863,1169,INITIAL COPY,1723054847105
711,4,5,864,1170,INITIAL COPY,1713088519570
593,4,5,866,1052,INITIAL COPY,1723054903241
713,4,5,867,1172,INITIAL COPY,1717611119990
714,4,5,868,1173,INITIAL COPY,1713105924667
715,4,5,869,1174,INITIAL COPY,1715682690920
716,4,5,870,1175,INITIAL COPY,1713196264887
717,4,5,871,1176,INITIAL COPY,1729932200198
718,4,5,872,1177,INITIAL COPY,1717611007935
719,4,5,873,1178,INITIAL COPY,1715682588475
720,4,5,874,1179,INITIAL COPY,1713159322039
721,4,5,875,1180,INITIAL COPY,1713166918917
722,4,5,876,1181,INITIAL COPY,1713086660182
723,4,5,877,1182,INITIAL COPY,1710968934321
724,4,5,878,1183,INITIAL COPY,1712517860074
725,4,5,879,1184,INITIAL COPY,1712517995392
726,4,5,880,1185,INITIAL COPY,1712519248734
727,4,5,881,1186,INITIAL COPY,1713086660182
728,4,5,882,1187,INITIAL COPY,1723055144229
729,4,5,883,1188,INITIAL COPY,1712518716741
730,4,5,884,1189,INITIAL COPY,1723055144229
731,4,5,885,1190,INITIAL COPY,1723055144229
732,4,5,886,1191,INITIAL COPY,1729335744766
733,4,5,887,1192,INITIAL COPY,1729932152039
734,4,5,888,1193,INITIAL COPY,1723055144229
735,4,5,889,1194,INITIAL COPY,1712517635199
736,4,5,890,1195,INITIAL COPY,1723055039423
737,4,5,891,1196,INITIAL COPY,1729519529327
738,4,5,892,1197,INITIAL COPY,1710956484400
741,4,5,893,1200,INITIAL COPY,1729519599467
739,4,5,894,1198,INITIAL COPY,1709910826759
